"gene","module"
"ATG4C","yellow"
"DNAJC6","yellow"
"TTLL7","yellow"
"PTBP2","yellow"
"SORT1","yellow"
"OTUD7B","yellow"
"HAPLN2","yellow"
"KCNJ10","yellow"
"GLUL","yellow"
"COLGALT2","yellow"
"CSRP1","yellow"
"NFASC","yellow"
"CNTN2","yellow"
"CDK18","yellow"
"TMEM63A","yellow"
"ITPKB","yellow"
"RHOU","yellow"
"RASGRP3","yellow"
"FOXN2","yellow"
"VRK2","yellow"
"RTKN","yellow"
"MAL","yellow"
"MAP4K4","yellow"
"BIN1","yellow"
"NCKAP5","yellow"
"ERMN","yellow"
"FIGN","yellow"
"LRP2","yellow"
"CYBRD1","yellow"
"WIPF1","yellow"
"RFTN2","yellow"
"DOCK10","yellow"
"PTMA","yellow"
"EFHD1","yellow"
"AGAP1","yellow"
"BOK","yellow"
"KCNH8","yellow"
"KAT2B","yellow"
"MOBP","yellow"
"SEMA3B","yellow"
"PXK","yellow"
"RYBP","yellow"
"CLDND1","yellow"
"TF","yellow"
"SRPRB","yellow"
"SLC9A9","yellow"
"TRIM59","yellow"
"CLDN11","yellow"
"PLD1","yellow"
"PEX5L","yellow"
"APOD","yellow"
"QDPR","yellow"
"FRYL","yellow"
"TMEM165","yellow"
"SCD5","yellow"
"SPP1","yellow"
"UGT8","yellow"
"GAB1","yellow"
"HHIP","yellow"
"SH3D19","yellow"
"TRIM2","yellow"
"TMEM144","yellow"
"FBXL7","yellow"
"SLC1A3","yellow"
"ITGA2","yellow"
"ZFYVE16","yellow"
"EDIL3","yellow"
"MAN2A1","yellow"
"SEMA6A","yellow"
"MEGF10","yellow"
"SLC12A2","yellow"
"FGF1","yellow"
"SH3TC2","yellow"
"FAXDC2","yellow"
"ATP10B","yellow"
"KIF13A","yellow"
"MOG","yellow"
"KIF6","yellow"
"DAAM2","yellow"
"TFEB","yellow"
"PAQR8","yellow"
"PTPRK","yellow"
"LAMA2","yellow"
"SYNJ2","yellow"
"QKI","yellow"
"CREB5","yellow"
"ANLN","yellow"
"HIP1","yellow"
"GNAI1","yellow"
"PON2","yellow"
"SLC25A13","yellow"
"TSC22D4","yellow"
"GPR37","yellow"
"HIPK2","yellow"
"DOCK5","yellow"
"KIF13B","yellow"
"ST18","yellow"
"CA2","yellow"
"STK3","yellow"
"ENPP2","yellow"
